"DPTO","LOC","SECC","SEGM","Total"
"01","020","01","001",696
"01","020","01","002",660
"01","020","01","003",786
"01","020","01","104",882
"01","020","01","105",818
"01","020","01","204",754
"01","020","01","205",992
"01","020","02","001",983
"01","020","02","003",786
"01","020","02","004",275
"01","020","02","102",662
"01","020","02","202",637
"01","020","03","003",584
"01","020","03","101",966
"01","020","03","102",607
"01","020","03","104",711
"01","020","03","201",608
"01","020","03","202",852
"01","020","03","204",645
"01","020","04","001",856
"01","020","04","102",975
"01","020","04","103",1795
"01","020","04","104",1454
"01","020","04","202",926
"01","020","04","203",1451
"01","020","04","204",1729
"01","020","05","101",1184
"01","020","05","102",1012
"01","020","05","103",1340
"01","020","05","104",1201
"01","020","05","105",1555
"01","020","05","106",970
"01","020","05","201",1429
"01","020","05","202",1272
"01","020","05","203",1197
"01","020","05","204",1044
"01","020","05","205",1217
"01","020","05","206",932
"01","020","06","101",1163
"01","020","06","102",1078
"01","020","06","103",754
"01","020","06","104",873
"01","020","06","201",1601
"01","020","06","202",1470
"01","020","06","203",938
"01","020","06","204",1102
"01","020","06","304",892
"01","020","07","001",1190
"01","020","07","009",1736
"01","020","07","010",1577
"01","020","07","102",950
"01","020","07","103",1047
"01","020","07","104",1208
"01","020","07","105",1145
"01","020","07","106",1398
"01","020","07","107",1146
"01","020","07","108",962
"01","020","07","202",903
"01","020","07","203",1096
"01","020","07","204",886
"01","020","07","205",1248
"01","020","07","206",1541
"01","020","07","207",1326
"01","020","07","208",927
"01","020","07","303",1139
"01","020","08","001",237
"01","020","08","002",1457
"01","020","08","003",1735
"01","020","08","004",1202
"01","020","08","006",724
"01","020","08","007",814
"01","020","08","008",525
"01","020","08","009",303
"01","020","08","010",655
"01","020","08","012",1050
"01","020","08","013",1187
"01","020","08","105",927
"01","020","08","111",2121
"01","020","08","114",1140
"01","020","08","205",841
"01","020","08","211",1447
"01","020","08","214",944
"01","020","08","314",1248
"01","020","09","001",1192
"01","020","09","002",837
"01","020","09","003",1735
"01","020","09","004",668
"01","020","09","005",1278
"01","020","09","006",771
"01","020","09","007",431
"01","020","09","008",1198
"01","020","09","009",1066
"01","020","09","010",480
"01","020","09","011",810
"01","020","09","012",452
"01","020","09","013",587
"01","020","09","014",686
"01","020","09","015",903
"01","020","09","016",495
"01","020","09","018",1707
"01","020","09","019",530
"01","020","09","020",514
"01","020","09","021",1023
"01","020","09","022",704
"01","020","09","023",593
"01","020","09","024",845
"01","020","09","025",1514
"01","020","09","026",2291
"01","020","09","027",1121
"01","020","09","028",700
"01","020","09","029",1620
"01","020","09","030",885
"01","020","09","031",1040
"01","020","09","032",1484
"01","020","09","033",2176
"01","020","09","034",1234
"01","020","09","035",1247
"01","020","09","036",1358
"01","020","09","038",599
"01","020","09","047",5635
"01","020","09","054",89
"01","020","09","055",152
"01","020","09","117",3858
"01","020","09","217",3083
"01","020","09","255",3853
"01","020","09","257",309
"01","020","10","004",1521
"01","020","10","005",1518
"01","020","10","006",1187
"01","020","10","008",988
"01","020","10","009",1868
"01","020","10","012",1232
"01","020","10","015",1297
"01","020","10","021",983
"01","020","10","040",1747
"01","020","10","041",1827
"01","020","10","042",1225
"01","020","10","043",1491
"01","020","10","044",1391
"01","020","10","045",1555
"01","020","10","047",1087
"01","020","10","051",1673
"01","020","10","052",1357
"01","020","10","053",813
"01","020","10","054",1240
"01","020","10","055",1429
"01","020","10","056",1429
"01","020","10","057",1289
"01","020","10","058",1715
"01","020","10","059",1933
"01","020","10","060",1298
"01","020","10","061",1578
"01","020","10","062",645
"01","020","10","063",754
"01","020","10","064",1912
"01","020","10","065",1500
"01","020","10","066",676
"01","020","10","067",712
"01","020","10","069",666
"01","020","10","070",645
"01","020","10","071",410
"01","020","10","072",576
"01","020","10","073",640
"01","020","10","074",587
"01","020","10","075",675
"01","020","10","076",2033
"01","020","10","077",850
"01","020","10","078",878
"01","020","10","101",1403
"01","020","10","102",1029
"01","020","10","103",964
"01","020","10","107",729
"01","020","10","110",734
"01","020","10","111",899
"01","020","10","113",756
"01","020","10","114",825
"01","020","10","116",1254
"01","020","10","117",1112
"01","020","10","118",1087
"01","020","10","119",972
"01","020","10","120",2306
"01","020","10","122",903
"01","020","10","123",838
"01","020","10","124",1104
"01","020","10","125",1992
"01","020","10","126",1164
"01","020","10","127",977
"01","020","10","128",2370
"01","020","10","129",988
"01","020","10","130",1189
"01","020","10","131",974
"01","020","10","132",1247
"01","020","10","133",1009
"01","020","10","134",1011
"01","020","10","135",1417
"01","020","10","136",665
"01","020","10","137",1002
"01","020","10","138",2432
"01","020","10","139",1323
"01","020","10","146",1896
"01","020","10","148",1298
"01","020","10","149",1328
"01","020","10","150",1037
"01","020","10","168",1548
"01","020","10","201",1273
"01","020","10","202",747
"01","020","10","203",874
"01","020","10","207",1217
"01","020","10","210",782
"01","020","10","211",1123
"01","020","10","213",984
"01","020","10","214",746
"01","020","10","216",1063
"01","020","10","217",1114
"01","020","10","218",1512
"01","020","10","219",1172
"01","020","10","220",1838
"01","020","10","222",817
"01","020","10","223",864
"01","020","10","224",1060
"01","020","10","225",1735
"01","020","10","226",1089
"01","020","10","227",866
"01","020","10","228",1641
"01","020","10","229",649
"01","020","10","230",1491
"01","020","10","231",1256
"01","020","10","232",1186
"01","020","10","233",1222
"01","020","10","234",1540
"01","020","10","235",1553
"01","020","10","236",1047
"01","020","10","237",990
"01","020","10","238",4040
"01","020","10","239",1559
"01","020","10","246",1604
"01","020","10","248",1914
"01","020","10","249",1852
"01","020","10","250",996
"01","020","10","268",2113
"01","020","10","316",1052
"01","020","10","319",2333
"01","020","10","320",1793
"01","020","10","328",954
"01","020","10","333",2273
"01","020","10","338",2065
"01","020","10","419",1206
"01","020","10","428",2015
"01","020","10","438",1704
"01","020","10","519",1316
"01","020","10","538",2019
"01","020","11","001",2175
"01","020","11","002",1787
"01","020","11","003",1151
"01","020","11","004",1421
"01","020","11","005",1391
"01","020","11","008",1180
"01","020","11","010",1698
"01","020","11","012",1116
"01","020","11","013",994
"01","020","11","015",1399
"01","020","11","016",1288
"01","020","11","017",1411
"01","020","11","018",1240
"01","020","11","019",792
"01","020","11","020",1088
"01","020","11","028",922
"01","020","11","031",1839
"01","020","11","032",992
"01","020","11","059",1116
"01","020","11","060",1455
"01","020","11","061",1852
"01","020","11","062",2157
"01","020","11","069",3191
"01","020","11","073",2311
"01","020","11","074",890
"01","020","11","076",471
"01","020","11","078",1607
"01","020","11","079",1556
"01","020","11","090",2015
"01","020","11","091",6093
"01","020","11","092",5364
"01","020","11","097",1890
"01","020","11","099",1816
"01","020","11","106",1121
"01","020","11","107",1823
"01","020","11","109",1415
"01","020","11","111",1220
"01","020","11","114",883
"01","020","11","129",887
"01","020","11","130",1309
"01","020","11","133",1039
"01","020","11","134",1713
"01","020","11","135",4282
"01","020","11","136",1366
"01","020","11","137",1071
"01","020","11","138",1113
"01","020","11","163",1197
"01","020","11","168",1376
"01","020","11","206",1436
"01","020","11","207",1615
"01","020","11","209",1723
"01","020","11","211",967
"01","020","11","214",1077
"01","020","11","229",860
"01","020","11","230",1470
"01","020","11","233",1268
"01","020","11","234",705
"01","020","11","235",2342
"01","020","11","236",1736
"01","020","11","237",1083
"01","020","11","238",1108
"01","020","11","263",1196
"01","020","11","268",1702
"01","020","11","286",1112
"01","020","11","287",1975
"01","020","11","289",4491
"01","020","11","296",394
"01","020","11","298",805
"01","020","12","001",1403
"01","020","12","002",1513
"01","020","12","003",1211
"01","020","12","005",944
"01","020","12","008",1274
"01","020","12","009",1389
"01","020","12","010",1108
"01","020","12","011",1664
"01","020","12","013",1490
"01","020","12","014",731
"01","020","12","015",963
"01","020","12","018",1606
"01","020","12","021",1142
"01","020","12","022",1457
"01","020","12","023",1292
"01","020","12","024",1268
"01","020","12","026",1504
"01","020","12","031",1090
"01","020","12","033",1291
"01","020","12","034",1310
"01","020","12","104",1016
"01","020","12","106",968
"01","020","12","107",802
"01","020","12","112",1580
"01","020","12","116",883
"01","020","12","117",848
"01","020","12","119",918
"01","020","12","120",1515
"01","020","12","125",926
"01","020","12","127",1167
"01","020","12","128",1320
"01","020","12","129",761
"01","020","12","130",649
"01","020","12","132",759
"01","020","12","135",1067
"01","020","12","136",1476
"01","020","12","204",825
"01","020","12","206",773
"01","020","12","207",899
"01","020","12","212",1339
"01","020","12","216",689
"01","020","12","217",744
"01","020","12","219",1028
"01","020","12","220",2117
"01","020","12","225",786
"01","020","12","227",1079
"01","020","12","228",1342
"01","020","12","229",746
"01","020","12","230",935
"01","020","12","232",787
"01","020","12","235",1130
"01","020","12","236",1547
"01","020","13","001",731
"01","020","13","002",1065
"01","020","13","003",1421
"01","020","13","004",708
"01","020","13","005",1196
"01","020","13","006",939
"01","020","13","007",1490
"01","020","13","008",604
"01","020","13","009",374
"01","020","13","010",501
"01","020","13","011",511
"01","020","13","012",2167
"01","020","13","014",996
"01","020","13","015",886
"01","020","13","016",982
"01","020","13","017",1278
"01","020","13","018",1532
"01","020","13","019",783
"01","020","13","020",271
"01","020","13","021",1231
"01","020","13","022",1524
"01","020","13","023",1013
"01","020","13","024",1107
"01","020","13","025",966
"01","020","13","026",1409
"01","020","13","027",1268
"01","020","13","028",982
"01","020","13","029",726
"01","020","13","030",895
"01","020","13","031",891
"01","020","13","033",3192
"01","020","13","037",1538
"01","020","13","038",899
"01","020","13","048",2949
"01","020","13","049",2133
"01","020","13","050",1800
"01","020","13","051",4488
"01","020","13","132",1715
"01","020","13","134",1746
"01","020","13","135",1948
"01","020","13","139",2803
"01","020","13","140",644
"01","020","13","152",2610
"01","020","13","213",2084
"01","020","13","232",2608
"01","020","13","234",1597
"01","020","13","235",1217
"01","020","13","236",7718
"01","020","13","239",1432
"01","020","13","240",2499
"01","020","13","242",5731
"01","020","13","252",1609
"01","020","13","332",2008
"01","020","13","336",1974
"01","020","13","352",1001
"01","020","13","432",1358
"01","020","13","442",89
"01","020","13","532",1319
"01","020","14","001",4
"01","020","14","002",617
"01","020","14","003",699
"01","020","14","004",681
"01","020","14","006",692
"01","020","14","009",1000
"01","020","14","010",1723
"01","020","14","015",48
"01","020","14","016",371
"01","020","14","017",1464
"01","020","14","018",2266
"01","020","14","023",671
"01","020","14","024",1808
"01","020","14","026",1327
"01","020","14","105",1116
"01","020","14","107",986
"01","020","14","108",1045
"01","020","14","111",881
"01","020","14","112",1058
"01","020","14","113",803
"01","020","14","114",826
"01","020","14","119",1243
"01","020","14","120",730
"01","020","14","121",893
"01","020","14","122",1647
