Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
3/12/2020, SIN DATOS, DESPISTE, LEVE, JUEVES, 17, SAN JOSE, SIN DATOS, 1, 524390, 6193915 
10/12/2020, BOHANES, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 22, RIO NEGRO, FRAY BENTOS, 1, 379245, 6332775 
4/1/2021, GENERAL GALARZA, CAÍDA, LEVE, LUNES, 20, SORIANO, MERCEDES, 1, 405160, 6320380 
4/1/2021, JOSE ANTONIO CABRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 579240, 6140820 
5/1/2021, BRASIL, ATROPELLO DE ANIMALES, LEVE, MARTES, 16, ROCHA, ROCHA, 1, 744715, 6182725 
31/12/2020, CIUDAD DE GUICHON Y WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, PAYSANDU, PAYSANDU, 1, 400260, 6423910 
14/12/2020, AVENIDA DOCTOR SANTIN CARLOS ROSSI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 568325, 6141750 
8/9/2020, MONTE CASEROS ESQ. URUGUAY, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 9, PAYSANDU, PAYSANDU, 1, 398355, 6424055 
14/9/2020, RUTA 5 KM 10.500, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 568480, 6146050 
20/9/2020, RUTA 102 km. 26.100, DESPISTE, FATAL, DOMINGO, 14, MONTEVIDEO, SIN DATOS, 1, 587200, 6147940 
3/5/2020, RUTA 23 KM 100.100, CAÍDA, FATAL, DOMINGO, 18, SAN JOSE, JUAN SOLER, 1, 517455, 6202440 
27/11/2020, DOCTOR JUSTO MONTES PAREJA esq. DOCTOR ISIDRO MAS DE AYALA, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 575230, 6145195 
30/11/2020, RUTA 8 KM 264.000, ATROPELLO DE PEATÓN, FATAL, LUNES, 10, TREINTA Y TRES, SIN DATOS, 1, 731755, 6302350 
30/11/2020, DIECIOCHO DE JULIO ESQ. C. ALZAIBAR, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 18, RIO NEGRO, FRAY BENTOS, 1, 379270, 6333305 
3/12/2020, RUTA 5 KM 378.000, ATROPELLO DE PEATÓN, FATAL, JUEVES, 20, TACUAREMBO, SIN DATOS, 1, 596930, 6480510 
12/4/2020, RUTA 5 KM 493.000, ATROPELLO DE ANIMALES, FATAL, DOMINGO, 0, RIVERA, SIN DATOS, 1, 637545, 6574305 
14/9/2020, RUTA 57 KM 7.000, ATROPELLO DE PEATÓN, FATAL, LUNES, 8, SORIANO, SIN DATOS, 1, 472550, 6256015 
2/10/2020, VERACIERTO esq. ARGERICH, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 579930, 6142285 
3/10/2020, RAMBLA 25 DE AGOSTO ESQ. TRINTA Y TRES, DESPISTE, FATAL, SÁBADO, 1, MONTEVIDEO, MONTEVIDEO, 1, 572465, 6137380 
7/10/2020, YAGUARON esq. AVENIDA DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, FATAL, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 574180, 6137120 
23/10/2020, GARAY esq. GERONIMO PICCIOLI, CAÍDA, FATAL, VIERNES, 23, MONTEVIDEO, MONTEVIDEO, 1, 578055, 6143220 
17/11/2020, RUTA 7 KM 243.000, DESPISTE, FATAL, MARTES, 21, TREINTA Y TRES, SIN DATOS, 1, 675405, 6331615 
6/1/2021, CARLOS GARDEL, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 2, TACUAREMBO, TACUAREMBO, 1, 597380, 6490195 
6/1/2021, CENTRAL, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 5, ROCHA, SIN DATOS, 1, 759045, 6161530 
6/1/2021, CAMINO CARLOS LOPEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, SIN DATOS, 1, 573850, 6147940 
6/1/2021, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 6, MONTEVIDEO, MONTEVIDEO, 1, 570925, 6142605 
6/1/2021, CAMINO CORRALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 1, 577590, 6143355 
