Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
20/12/2015, CALLE CONT 17 MTS Y CALLE 1, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 2, CANELONES, SIN DATOS, 1, 583500, 6156280 
21/6/2015, , COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 8, CANELONES, SIN DATOS, 1, 587395, 6159350 
7/6/2015, RUTA 18 KM 10, CAÍDA, LEVE, DOMINGO, 0, CERRO LARGO, SIN DATOS, 1, 845870, 6376520 
14/6/2015, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 10, FLORIDA, SIN DATOS, 1, 629880, 6302560 
15/11/2015, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 20, CANELONES, SIN DATOS, 1, 569545, 6164875 
13/12/2015, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 0, SORIANO, SIN DATOS, 1, 453630, 6247705 
1/11/2015, , CAÍDA, SIN LESIONADOS, DOMINGO, 8, DURAZNO, DURAZNO, 1, 543670, 6305565 
11/10/2015, INCA, CAÍDA, LEVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 575150, 6138460 
21/6/2015, RUTA CESAR MAYO GUTIERREZ, CAÍDA, LEVE, DOMINGO, 8, CANELONES, SIN DATOS, 1, 571870, 6160350 
20/9/2015, , DESPISTE, GRAVE, DOMINGO, 3, SAN JOSE, SIN DATOS, 1, 535470, 6196300 
3/8/2015, , DESPISTE, LEVE, LUNES, 11, SORIANO, SIN DATOS, 1, 390610, 6292225 
7/9/2015, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 6, ARTIGAS, SIN DATOS, 1, 554550, 6626430 
4/1/2016, NO SE INGRESO, DESPISTE, LEVE, LUNES, 1, TACUAREMBO, SIN DATOS, 1, 545985, 6378235 
18/3/2016, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 0, SAN JOSE, SIN DATOS, 1, 534175, 6166525 
15/1/2016, , DESPISTE, LEVE, VIERNES, 19, SORIANO, SIN DATOS, 1, 375555, 6280860 
7/9/2015, , CAÍDA, LEVE, LUNES, 14, DURAZNO, SIN DATOS, 1, 623465, 6385725 
4/1/2016, NO SE INGRESO, CAÍDA, LEVE, LUNES, 9, SORIANO, SIN DATOS, 1, 396010, 6304435 
29/6/2015, RUTA 1 NUEVA, CAÍDA, LEVE, LUNES, 13, COLONIA, SIN DATOS, 1, 473405, 6200875 
6/4/2015, , DESPISTE, SIN LESIONADOS, LUNES, 11, CANELONES, SIN DATOS, 1, 571575, 6170970 
14/9/2015, RUTA 27. KM 26, CAÍDA, LEVE, LUNES, 13, RIVERA, SIN DATOS, 1, 658325, 6526435 
10/2/2016, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 1, 581440, 6141015 
27/1/2016, SORIANO, CAÍDA, LEVE, MIÉRCOLES, 2, MALDONADO, MALDONADO, 1, 687800, 6135220 
13/1/2016, BERNADET SOSA, ATROPELLO DE PEATÓN, GRAVE, MIÉRCOLES, 20, DURAZNO, SARANDI DEL YI, 1, 626775, 6309215 
15/11/2015, JOSE BATLLE Y ORDOÑEZ, CAÍDA, LEVE, DOMINGO, 22, CERRO LARGO, MELO, 1, 766000, 6415035 
