Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
15/7/2021,, AVENIDA DE LOS GAUCHOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, MALDONADO, MALDONADO, 1, 687885, 6135815 
9/9/2021,, EJIDO, CAÍDA, LEVE, JUEVES, 14, CERRO LARGO, MELO, 1, 766405, 6415810 
20/7/2021,, CAMINO CARMELO COLMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 577095, 6145750 
29/5/2021,, MONTERO VIDAURRETA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 6, MONTEVIDEO, MONTEVIDEO, 1, 570310, 6141435 
3/8/2021,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, SALTO, SALTO, 1, 409410, 6527040 
10/9/2021,, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 575630, 6142830 
6/9/2021,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, CAÍDA, LEVE, LUNES, 3, MONTEVIDEO, MONTEVIDEO, 1, 573285, 6142475 
7/8/2021,, TORRES GARCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, CANELONES, SIN DATOS, 1, 571980, 6157265 
4/8/2021,, FRANKLIN DELANO ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 16, LAVALLEJA, MINAS, 1, 662145, 6194380 
2/7/2021,, RAMBLA MAHATMA GANDHI, DESPISTE, LEVE, VIERNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 577710, 6135450 
9/9/2021,, SANTA MARIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, MONTEVIDEO, MONTEVIDEO, 1, 569195, 6149145 
3/9/2021,, PASO CUFRÉ, DESPISTE, SIN LESIONADOS, VIERNES, 7, SAN JOSE, ECILDA PAULLIER, 1, 494970, 6197610 
31/8/2021,, AVENIDA JOSE BATLLE Y ORDOÑEZ, ATROPELLO DE PEATÓN, GRAVE, MARTES, 17, MALDONADO, MALDONADO, 1, 686995, 6136585 
6/9/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, TACUAREMBO, SIN DATOS, 1, 591825, 6487740 
24/9/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, VIERNES, 5, ARTIGAS, SIN DATOS, 1, 447995, 6629025 
13/7/2021,, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, MONTEVIDEO, MONTEVIDEO, 1, 573845, 6137415 
5/9/2021,, EJIDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 21, MALDONADO, SAN CARLOS, 1, 691240, 6148520 
1/8/2021,, ANTONIO ESTEFANELL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 16, PAYSANDU, PAYSANDU, 1, 397530, 6426795 
9/8/2021,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, LAVALLEJA, MINAS, 1, 662320, 6194740 
18/9/2021,, MANUEL LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, TREINTA Y TRES, TREINTA Y TRES, 1, 743610, 6320060 
13/9/2021,, AVENIDA DE LAS LEYES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 574220, 6138850 
6/7/2021,, AVENIDA CHIVERTA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, MALDONADO, PUNTA DEL ESTE, 1, 688440, 6130380 
6/7/2021,, CAMINO "LAS MUCHAS", DESPISTE, SIN LESIONADOS, MARTES, 5, FLORES, SIN DATOS, 1, 515885, 6301295 
20/7/2021,, G. IMHOF, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 19, COLONIA, NUEVA HELVECIA, 1, 478825, 6205160 
6/9/2021,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, SORIANO, MERCEDES, 1, 404780, 6320725 
15/8/2021,, AVENIDA LIBERTADOR BRIGADIER GENERAL LAVALLEJA, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 1, MONTEVIDEO, MONTEVIDEO, 1, 573625, 6137185 
18/8/2021,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, SORIANO, DOLORES, 1, 386610, 6289605 
11/8/2021,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MALDONADO, MALDONADO, 1, 686985, 6136110 
1/8/2021,, AV. PROF. EUCLIDES PELUFFO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, MONTEVIDEO, MONTEVIDEO, 1, 579175, 6136575 
