Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
16/12/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 3, TACUAREMBO, SIN DATOS, 1, 592540, 6467825 
25/12/2021,, SIN DATOS, CAÍDA, LEVE, SÁBADO, 14, ROCHA, SIN DATOS, 1, 755530, 6174475 
4/12/2021,, AV. FRANCISCO SALAZAR, CAÍDA, LEVE, SÁBADO, 7, MALDONADO, PUNTA DEL ESTE, 1, 688415, 6130155 
17/10/2021,, PARAJE PEDRO CHICO, DESPISTE, SIN LESIONADOS, DOMINGO, 9, SORIANO, SIN DATOS, 1, 425165, 6291195 
23/10/2021,, TOBAS, CAÍDA, LEVE, SÁBADO, 7, MONTEVIDEO, MONTEVIDEO, 1, 576430, 6142525 
23/2/2022,, BOULEVARD JOSE GERVASIO ARTIGAS, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 7, TACUAREMBO, PASO DE LOS TOROS, 1, 545840, 6369520 
13/3/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 15, COLONIA, SIN DATOS, 1, 427625, 6188035 
2/3/2022,, AVENIDA GENERAL RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 1, 575665, 6137485 
22/10/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, CANELONES, BARROS BLANCOS, 1, 591590, 6154105 
2/10/2021,, A. MUÑOZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, CERRO LARGO, MELO, 1, 767215, 6414245 
16/10/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, CERRO LARGO, MELO, 1, 766625, 6414560 
25/2/2022,, EST.  SAN PABLO DEL CEBOLLATI, DESPISTE, LEVE, VIERNES, 11, ROCHA, SIN DATOS, 1, 763945, 6288265 
17/10/2021,, BOULEVARD FRANCISCO PIRIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 10, MALDONADO, PIRIAPOLIS, 1, 657405, 6139535 
19/3/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 21, SORIANO, SIN DATOS, 1, 425190, 6321635 
13/2/2022,, CAMINO DEL ARBOLITO, DESPISTE, LEVE, DOMINGO, 18, ROCHA, SIN DATOS, 1, 759130, 6183215 
4/3/2022,, RIO NEGRO Y ACUÑA DE FIGUEROA, ATROPELLO DE ANIMALES, LEVE, VIERNES, 18, CANELONES, EL PINAR, 1, 598325, 6149990 
4/10/2021,, PASO MORLÁN Y RINCÓN, CAÍDA, LEVE, LUNES, 11, SORIANO, CHACRAS DE DOLORES, 1, 387470, 6287465 
